"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Профиль пользователя","Обновление профиля","0","0","2","0","0"
"","Профиль пользователя","Получение профиля","0","0","2","0","0"
"","API пользователей","Список пользователей","0","0","2","0","0"
"","Профиль пользователя","Смена пароля","0","0","3","0","0"
"","API пользователей","Детальная информация о пользователе","0","0","2","0","0"
"","Регистрация и авторизация","Ошибочная регистрация","0","0","2","0","0"
"","Регистрация и авторизация","Ошибочная авторизация","0","0","2","0","0"
"","Регистрация и авторизация","Успешная регистрация","0","0","1","0","0"
"","Регистрация и авторизация","Успешная авторизация","0","0","1","0","0"
"","Регистрация и авторизация","Ошибочный выход","0","0","1","0","0"
"","Регистрация и авторизация","Успешный выход","0","0","1","0","0"
"","API пользователей","Административные функции","0","0","2","0","0"
